fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"5263",F,F,"0020550059","1","1973","245.0","460.0","245.0","19","20","0.0",Normal,"9,50",Não,Não,Não,Não,Não,Sim,Uso Misto
"5264",F,F,"0020810039","1","1934","232.0","200.0","200.0","9","10","0.0",Normal,"5,75",Não,Não,Não,Não,Não,Sim,Não Residencial
"5265",F,F,"0020900013","1","1970","227.0","355.0","200.0","16","20","0.0",Normal,"10,37",Não,Não,Não,Não,Não,Sim,Não Residencial
"5266",F,F,"0020800108","1","1929","86.0","142.0","75.0","17","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Residencial
"5267",F,F,"0020370015","1","1944","240.0","168.0","168.0","7","10","0.0",Normal,"9,80",Não,Não,Não,Não,Não,Sim,Não Residencial
"5268",F,F,"0020370016","1","1954","235.0","200.0","200.0","9","10","0.0",Normal,"9,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"5269",F,F,"0020370000","1","1954","1054.0","127.0","784.0","2","40","0.0",Normal,"22,50",Não,Não,Não,Não,Não,Sim,Uso Misto
"5270",F,F,"0020480016","1","1939","66.0","110.0","55.0","17","20","0.0",Normal,"4,55",Não,Não,Não,Não,Não,Sim,Residencial
"5271",F,F,"0020820026","1","1949","335.0","500.0","300.0","15","20","0.0",Normal,"8,20",Não,Não,Não,Não,Não,Sim,Não Residencial
"5272",F,F,"0020480017","1","1939","66.0","110.0","55.0","17","20","0.0",Normal,"4,59",Não,Não,Não,Não,Não,Sim,Residencial
"5273",F,F,"0020480047","1","1939","900.0","900.0","900.0","10","10","0.0",Normal,"15,00",Não,Não,Sim,Não,Não,Sim,Não Residencial
"5274",F,F,"0020840014","1","1955","246.0","408.0","246.0","17","20","0.0",Normal,"5,45",Não,Não,Não,Não,Não,Sim,Não Residencial
"5275",F,F,"0020760000","2","1953","483.0","254.0","430.0","11","80","0.0",Normal,"9,60",Não,Não,Não,Não,Não,Não,Uso Misto
"5276",F,F,"0020760071","1","1974","498.0","648.0","498.0","13","10","0.0",Normal,"9,50",Não,Não,Não,Não,Não,Sim,Não Residencial
